user_id,ISBN,Book-Rating,book_title,Book-Author
278418,0446520802,0,The Notebook,Nicholas Sparks
3363,0446520802,0,The Notebook,Nicholas Sparks
7158,0446520802,10,The Notebook,Nicholas Sparks
11676,0446520802,10,The Notebook,Nicholas Sparks
23768,0446520802,6,The Notebook,Nicholas Sparks
27617,0446520802,9,The Notebook,Nicholas Sparks
28204,0446520802,0,The Notebook,Nicholas Sparks
29855,0446520802,0,The Notebook,Nicholas Sparks
30711,0446520802,6,The Notebook,Nicholas Sparks
32440,0446520802,0,The Notebook,Nicholas Sparks
33974,0446520802,0,The Notebook,Nicholas Sparks
85993,0446520802,10,The Notebook,Nicholas Sparks
102967,0446520802,0,The Notebook,Nicholas Sparks
105979,0446520802,0,The Notebook,Nicholas Sparks
115490,0446520802,0,The Notebook,Nicholas Sparks
135831,0446520802,0,The Notebook,Nicholas Sparks
153718,0446520802,7,The Notebook,Nicholas Sparks
154992,0446520802,8,The Notebook,Nicholas Sparks
158295,0446520802,8,The Notebook,Nicholas Sparks
159033,0446520802,0,The Notebook,Nicholas Sparks
169699,0446520802,8,The Notebook,Nicholas Sparks
181687,0446520802,9,The Notebook,Nicholas Sparks
185233,0446520802,7,The Notebook,Nicholas Sparks
188010,0446520802,0,The Notebook,Nicholas Sparks
194669,0446520802,0,The Notebook,Nicholas Sparks
200226,0446520802,9,The Notebook,Nicholas Sparks
201017,0446520802,0,The Notebook,Nicholas Sparks
203240,0446520802,0,The Notebook,Nicholas Sparks
208671,0446520802,9,The Notebook,Nicholas Sparks
208829,0446520802,0,The Notebook,Nicholas Sparks
230522,0446520802,0,The Notebook,Nicholas Sparks
231237,0446520802,0,The Notebook,Nicholas Sparks
234623,0446520802,0,The Notebook,Nicholas Sparks
235105,0446520802,0,The Notebook,Nicholas Sparks
238120,0446520802,0,The Notebook,Nicholas Sparks
238781,0446520802,0,The Notebook,Nicholas Sparks
258534,0446520802,0,The Notebook,Nicholas Sparks
263460,0446520802,0,The Notebook,Nicholas Sparks
271195,0446520802,0,The Notebook,Nicholas Sparks
275970,0446520802,0,The Notebook,Nicholas Sparks
278418,038550120X,0,A Painted House,JOHN GRISHAM
6251,038550120X,0,A Painted House,JOHN GRISHAM
11676,038550120X,10,A Painted House,JOHN GRISHAM
13273,038550120X,0,A Painted House,JOHN GRISHAM
13552,038550120X,0,A Painted House,JOHN GRISHAM
16106,038550120X,0,A Painted House,JOHN GRISHAM
17950,038550120X,0,A Painted House,JOHN GRISHAM
21014,038550120X,0,A Painted House,JOHN GRISHAM
21659,038550120X,0,A Painted House,JOHN GRISHAM
